Week,Car Index ,Tesla Google Trends,VIX,Tweet/News Sentiment,3-Year-Bond,Tesla Price Change,Label
1,0.02560819462,30,0.07277882798,0.6880013812,-0.01397058824,-0.03949331539,-1
2,-0.03620474407,34,0.2427312775,0.2866977913,0.06935123043,0.02037584138,1
3,-0.048791019,32,0.183977313,0.7437085578,0.01220362622,-0.1336338129,-1
4,0.01694658799,28,-0.09610778443,0.1395112857,0.0141233207,-0.005857019811,-1
5,-0.03689927094,37,-0.04372308711,0.9321653275,-0.06046195652,-0.1109686363,-1
6,-0.08419589062,35,0.01939729823,0.4432667861,-0.01590744758,-0.1373328656,-1
7,0.08080296896,31,-0.1260618417,0.1119558925,-0.03049228508,0.1441934026,1
8,-0.01716872171,29,-0.03615863142,0.8407258665,0.07995452823,-0.0738122507,-1
9,-0.07559155153,29,0.1194029851,0.09485490932,0.1322807018,-0.009764625618,-1
10,-0.07713451297,28,0.1218018018,0.9756587133,0.04121475054,-0.06661499376,-1
11,0.08618763961,29,-0.1252810793,0.9015629743,-0.05833333333,0.133557852,1
12,-0.05758354756,28,-0.01946382666,0.408778186,-0.09766118837,-0.07508851899,-1
13,0.003455173668,26,-0.07715355805,0.7161433405,0.100525394,0.1034057907,1
14,0.02790866256,27,-0.01663961039,0.1660104137,-0.001273074475,-0.04263040357,-1
15,0.06752468265,26,-0.04952538176,0.3610134575,-0.06787762906,0.1340025826,1
16,0.05202312139,29,-0.07381676075,0.659681654,-0.03897435897,0.09150014693,1
17,0.03547880691,26,-0.008438818565,0.4377748378,0.1298470295,-0.03022042739,-1
18,0.08823529412,26,-0.07659574468,0.6617733035,-0.001259445844,0.04115626193,1
19,0.004597380886,29,0.0547875064,0.5733569035,0.03310214376,-0.01119888011,-1
20,-0.03896824296,27,0.240776699,0.03345562109,0.03783948734,-0.02892102336,-1
21,-0.07012987013,25,-0.003521126761,0.992510464,0.009703028521,-0.06206393835,-1
22,0.04298572315,25,-0.1052218296,0.7698201806,0.0495049505,0.1090633211,1
23,-0.06516887368,25,0.1540149188,0.4388373321,0.0602108768,0.01224639616,1
24,-0.1102976285,25,0.1376425856,0.98688086,0.1075634651,-0.09236855118,-1
25,-0.08747763864,26,0.05681818182,0.08513740566,0.01535916824,-0.03661061272,-1
26,0.06841795726,26,-0.008222643896,0.03391661141,0.008610658599,-0.1590197926,-1
27,-0.03412844037,25,0.02104591837,0.8233707133,0.03461005999,-0.08105079123,-1
28,0.0702887538,29,-0.07276702061,0.3731259369,0.006467439786,0.04609980975,1
29,0.1116435925,42,-0.1327046143,0.2840689891,-0.03057832927,0.0656593919,1
30,0.01325243494,38,-0.04660194175,0.03601672932,0.05074285714,-0.09211447576,-1
31,0.04947998739,39,-0.08268839104,0.1993174673,-0.07961714161,-0.05542970068,-1